level_id,timestamp,game,algorithm,reset_time_ms,generation_time_ms,extract_time_ms,validation_time_ms,metrics_time_ms,solvability_time_ms,save_time_ms,total_time_ms,steps,mean_inference_ms,std_inference_ms,min_inference_ms,max_inference_ms,total_reward,diversity,complexity,unique_tiles,is_solvable,ram_start_pct,ram_end_pct,ram_delta_pct,cpu_start_pct,cpu_end_pct,cpu_delta_pct,gpu_start_pct,gpu_end_pct,gpu_delta_pct
1,2026-02-20T16:14:30.188565,sokoban,PPO,0.9568000095896423,1216.6419999848586,0.08540000999346375,0.06120000034570694,0.29150000773370266,0.000600004568696022,98.58750001876615,1316.625000035856,9,15.146600001672697,38.237548709080244,1.275400019949302,123.29590000445023,10.0,0.2,1.0,5,,52.9,54.5,1.6000000000000014,6.6,8.9,2.3000000000000007,10.077714920043945,10.604047775268555,0.5263328552246094
2,2026-02-20T16:14:31.494209,sokoban,PPO,0.5334000161383301,1193.0353999778163,0.07620002725161612,0.05260002217255533,0.06299998494796455,0.000800006091594696,2.0497999794315547,1195.8112000138499,10,1.5265999943949282,0.37245466068488914,1.1261999898124486,2.212899998994544,1.0,0.16,0.7777777777777778,4,,54.6,54.5,-0.10000000000000142,6.2,10.6,4.3999999999999995,10.64753532409668,10.530900955200195,-0.11663436889648438
3,2026-02-20T16:14:33.025822,sokoban,PPO,0.4928999987896532,1415.8032000123058,0.09679998038336635,0.06600000779144466,0.07440001354552805,0.000700005330145359,3.3827000006567687,1419.9167000188027,12,2.303724999364931,1.147331339870512,1.128700008848682,4.252899991115555,7.0,0.16,1.0,4,,54.5,54.6,0.10000000000000142,10.4,10.3,-0.09999999999999964,10.62016487121582,10.601091384887695,-0.019073486328125
4,2026-02-20T16:14:33.800634,sokoban,PPO,0.6087999790906906,653.5960000182968,0.33889999031089246,0.26840000646188855,0.4718999844044447,0.0025999906938523054,6.926800007931888,662.2133999771904,5,2.4262999941129237,0.9877558568501653,1.1749999830499291,3.9477999962400645,12.0,0.2,1.0,5,,55.0,55.0,0.0,12.3,1.5,-10.8,10.594987869262695,10.572099685668945,-0.02288818359375
5,2026-02-20T16:14:34.792724,sokoban,PPO,1.0992000170517713,874.2455999890808,0.1453000004403293,0.10950001887977123,0.1686000032350421,0.001300009898841381,4.4747999927494675,880.244300031336,7,2.9227142845879177,1.2886136515682105,1.1627000058069825,4.397199983941391,28.0,0.12,1.0,3,,55.0,54.8,-0.20000000000000284,5.3,2.5,-2.8,10.569047927856445,10.541582107543945,-0.0274658203125
6,2026-02-20T16:14:36.108011,sokoban,PPO,0.9006999898701906,1202.2654000029434,0.2230999816674739,0.1720000000204891,0.22529999841935933,0.0016999838408082724,5.434399994555861,1209.2225999513175,10,2.6847699948120862,1.289648917313008,1.3441999908536673,5.105699994601309,11.0,0.2,1.0,5,,54.8,55.0,0.20000000000000284,1.1,2.0,0.8999999999999999,10.51487922668457,10.61406135559082,0.09918212890625
7,2026-02-20T16:14:37.744903,sokoban,PPO,0.840499997138977,1519.8461999825668,0.2688000095076859,0.2066000015474856,0.28119998751208186,0.0021999876480549574,6.006800016621128,1527.4522999825422,13,2.798553845003391,1.2212746556323424,1.5829000039957464,6.033999990904704,12.0,0.16,0.8888888888888888,4,,55.0,54.9,-0.10000000000000142,7.4,5.6,-1.8000000000000007,10.61406135559082,10.526323318481445,-0.087738037109375
8,2026-02-20T16:14:39.271477,sokoban,PPO,0.8636999991722405,1411.622299987357,0.1908999984152615,0.14540000120177865,0.24720001965761185,0.001700012944638729,5.296999996062368,1418.368200014811,12,2.7588750041710832,0.5003033518849732,1.9325999892316759,3.8290999946184456,18.0,0.2,1.0,5,,54.9,54.9,0.0,6.1,4.3,-1.7999999999999998,10.526323318481445,10.34855842590332,-0.177764892578125
9,2026-02-20T16:14:40.700031,sokoban,PPO,0.6678999925497919,1313.9770000125282,0.08860000525601208,0.060399994254112244,0.20260000019334257,0.0007999769877642393,3.1005000055301934,1318.0977999872994,11,3.3822272697844626,1.7682219541971327,1.84760001138784,8.213399996748194,9.0,0.16,1.0,4,,54.9,54.8,-0.10000000000000142,11.3,3.3,-8.0,10.34855842590332,10.363054275512695,0.014495849609375
10,2026-02-20T16:14:41.679057,sokoban,PPO,0.4422999918460846,865.2273000043351,0.1399999891873449,0.1047999830916524,0.2610000083222985,0.001400010660290718,4.075800010468811,870.2525999979116,7,3.3234571414400955,1.170897867899414,1.7977000097744167,5.088099977001548,14.0,0.08,1.0,2,,54.8,54.8,0.0,8.3,7.0,-1.3000000000000007,10.363054275512695,10.363054275512695,0.0
11,2026-02-20T16:14:44.104702,sokoban,PPO,0.6961000035516918,2303.8760000199545,0.07589999586343765,0.05479998071677983,0.05570001667365432,0.0004999747034162283,12.043200025800616,2316.802200017264,20,2.4464800051646307,0.9484799488862506,1.553200010675937,5.635000008624047,10.0,0.16,1.0,4,,54.8,54.8,0.0,4.8,9.2,4.3999999999999995,10.349321365356445,10.58201789855957,0.232696533203125
12,2026-02-20T16:14:45.748628,sokoban,PPO,0.5482000124175102,1530.5756000161637,0.08110000635497272,0.060699996538460255,0.05220001912675798,0.000400003045797348,2.2760000138077885,1533.594200067455,13,2.2546538496569086,1.123793480195877,1.2004999734926969,4.28629998350516,-2.0,0.08,1.0,2,,54.8,54.8,0.0,6.5,3.1,-3.4,10.58506965637207,10.58354377746582,-0.00152587890625
13,2026-02-20T16:14:48.391841,sokoban,PPO,3.0593999836128205,2518.8918999920134,0.08689999231137335,0.06500000017695129,0.05910001345910132,0.000700005330145359,11.177899985341355,2533.340899972245,22,2.405459090368822,1.043699532124401,1.0381999891251326,5.328100000042468,-4.0,0.12,0.8888888888888888,3,,54.8,54.2,-0.5999999999999943,5.7,22.9,17.2,10.587358474731445,10.53624153137207,-0.051116943359375
14,2026-02-20T16:14:51.024305,sokoban,PPO,0.7187000010162592,2519.3380000127945,0.11980000999756157,0.0889000075403601,0.07109998841769993,0.00100000761449337,2.6289999950677156,2522.9665000224486,22,2.3207409050717778,0.7217071010897479,1.3385999773163348,4.455799993593246,3.0,0.12,0.8888888888888888,3,,54.2,54.2,0.0,6.6,5.5,-1.0999999999999996,10.50114631652832,10.31956672668457,-0.18157958984375
15,2026-02-20T16:14:52.446649,sokoban,PPO,0.5607999919448048,1310.2271000097971,0.08379999781027436,0.04999997327104211,0.05520001286640763,0.000500003807246685,3.1020999886095524,1314.0794999781065,11,2.2593909075526013,0.7538776201649318,1.5235999890137464,4.325499990954995,8.0,0.16,1.0,4,,54.3,54.3,0.0,11.5,23.7,12.2,10.343217849731445,10.53776741027832,0.194549560546875
16,2026-02-20T16:14:55.093080,sokoban,PPO,0.6215000175870955,2532.988799997838,0.0672000169288367,0.0475000124424696,0.05289999535307288,0.0009999785106629133,2.6282000180799514,2536.4071000367403,22,2.817027268148112,1.182831536708556,1.5962000179570168,6.015799997840077,-2.0,0.12,1.0,3,,54.3,54.6,0.30000000000000426,10.7,0.8,-9.899999999999999,10.616350173950195,10.636091232299805,0.019741058349609375
17,2026-02-20T16:14:56.839948,sokoban,PPO,0.5680000176653266,1633.4080999949947,0.09700001101009548,0.07080001523718238,0.07989999721758068,0.000800006091594696,2.564800000982359,1636.7894000431988,14,3.006157140979277,0.9439064840105948,1.5731999883428216,4.795199987711385,-4.0,0.12,0.8888888888888888,3,,54.6,54.4,-0.20000000000000284,6.3,0.6,-5.7,10.651350021362305,10.613870620727539,-0.037479400634765625
18,2026-02-20T16:14:59.044043,sokoban,PPO,0.44100001105107367,2092.0481999928597,0.08709999383427203,0.06000002031214535,0.07489998824894428,0.000800006091594696,2.4320999800693244,2095.144099992467,18,2.010827782214619,0.5252635809397442,1.528399996459484,3.540300007443875,19.0,0.2,1.0,5,,54.4,54.6,0.20000000000000284,8.4,4.8,-3.6000000000000005,10.616922378540039,10.268259048461914,-0.348663330078125
19,2026-02-20T16:15:00.578205,sokoban,PPO,0.7012999849393964,1422.2918000014033,0.08720002369955182,0.06230000872164965,0.07149999146349728,0.000600004568696022,3.293299989309162,1426.5080000041053,12,2.725533335857714,1.0446580749270955,1.4435000193770975,4.855100007262081,11.0,0.2,1.0,5,,54.4,54.4,0.0,8.8,12.0,3.1999999999999993,10.271310806274414,10.261392593383789,-0.009918212890625
20,2026-02-20T16:15:02.896768,sokoban,PPO,0.8123000152409077,2195.2179000072647,0.06790002225898206,0.046900007873773575,0.05340002826415002,0.000500003807246685,12.049700017087162,2208.248600101797,19,2.285094741780899,0.8219594174261693,1.424699992639944,4.1350000246893615,4.0,0.16,1.0,4,,54.4,54.5,0.10000000000000142,4.1,4.1,0.0,10.262155532836914,10.285139083862305,0.022983551025390625
